"","V1"
"1",NA
"2",0
"3",0.6
"4",0.8
"5",0.777777777777778
"6",0.65625
"7",0.671641791044776
"8",0.755725190839695
"9",0.75
"10",0.776978417266187
"11",0.731481481481482
"12",0.761692650334076
"13",0.789735099337748
"14",0.793758480325645
"15",0.782902137232846
"16",0.756437768240343
"17",0.739219712525667
"18",0.740293356341674
"19",0.734563520227111
"20",0.750438340151958
"21",0.758418740849195
"22",0.767241379310345
"23",0.765107913669065
"24",0.743633276740238
"25",0.743633276740238
"26",0.726439790575916
"27",0.736783216783217
"28",0.734042553191489
"29",0.752941176470588
"30",0.743564158850529
"31",0.744834893166166
"32",0.73071104387292
"33",0.73021472392638
"34",0.738194537871653
"35",0.745305729417429
"36",0.745305729417429
"37",0.744206576914588
"38",0.745425457454255
"39",0.756599030346561
"40",0.74724146779574
"41",0.741103415333174
"42",0.747229666111393
"43",0.757470511140236
"44",0.747235286640397
"45",0.744956942314498
"46",0.753659713657569
"47",0.757595410326765
"48",0.747424155695478
"49",0.74717382630669
"50",0.738294243070363
"51",0.744298142487656
"52",0.740824246904454
"53",0.740248933883438
"54",0.742982030111705
"55",0.744123899180079
"56",0.749536647009267
"57",0.747330109983529
"58",0.739391605698883
"59",0.739829890643985
"60",0.740581467163804
"61",0.746260069044879
"62",0.752366686638706
"63",0.752366686638706
"64",0.75145056695362
"65",0.752515235656846
"66",0.754062783027735
"67",0.755637821497276
"68",0.755631808949344
"69",0.750649863946612
"70",0.746436455607374
"71",0.742615261089434
"72",0.738578369330013
"73",0.738513100975591
"74",0.738627190422374
"75",0.734434439254587
"76",0.739760712615623
"77",0.735123966942149
"78",0.737009837882777
"79",0.732318178975674
"80",0.730215284277907
"81",0.73158011007271
"82",0.73158011007271
"83",0.72855024757784
"84",0.726364293458619
"85",0.728889767705772
"86",0.72550561891772
"87",0.72316520638305
"88",0.720312449304046
"89",0.719783003499692
"90",0.719783003499692
"91",0.724300730447176
"92",0.721335089903582
"93",0.724854409317804
"94",0.724854409317804
"95",0.727566725889845
"96",0.725533456695868
"97",0.721371871320597
