"","id","geodesic"
"1",51699,1.37129820481652
"2",51700,1.32116963556921
"3",51701,1.36877715704531
"4",51702,1.37143739385518
"5",51703,1.36311822026108
"6",51704,1.36222563036989
"7",51705,1.36776354856419
"8",51706,1.36431603743875
"9",51707,1.39649183986609
"10",51708,1.23809523809524
"11",51709,1.36019173345906
"12",51710,1.3283196239718
"13",51711,1.18620689655172
"14",51712,1.31946778711485
"15",51713,1.25979608707633
"16",51714,1.29411880680586
"17",51715,1.33159989727786
"18",51716,1.36666666666667
"19",51717,1.29882075471698
"20",51718,1.36533101045296
"21",51719,1.31003039513678
"22",51720,1.37673771768852
"23",51721,1.37079101261927
"24",51722,1.4043976564985
"25",51723,1.34394966590255
"26",51724,1.33982630709187
"27",51725,1.40429649570417
"28",51726,1.34204060093339
"29",51727,1.38941839830557
"30",51728,1.35025062656642
"31",51729,1.37494071146245
"32",51730,1.25468253968254
"33",51731,1.29365506116413
"34",51732,1.34920634920635
"35",51733,1.34814814814815
"36",51734,1.38095238095238
"37",51735,1
"38",51736,1.38095238095238
"39",51737,1.30549682875264
"40",51738,1.35042735042735
"41",51739,1.31481742762007
"42",51740,1.33695652173913
"43",51741,1.24033535165347
"44",51742,1.33357753357753
"45",51743,1.34662562159602
"46",51744,1.38174203646516
"47",51745,1.19087110253938
"48",51746,1.3520697167756
"49",51747,1.37301955328851
"50",51748,1.26557027562053
"51",51749,1.39588345362203
"52",51750,1.32622619987716
"53",51751,1.32786885245902
"54",51752,1.35933503836317
"55",51753,1.16610800744879
"56",51754,1.35849512218681
"57",51755,1.31062681610627
"58",51756,1.31140430615796
"59",51757,1.36699857752489
"60",51758,1.39384920634921
"61",51759,1.29627378559072
"62",51760,1.3816067653277
"63",51761,1.37785220364154
"64",51762,1.38894652569969
"65",51763,1.28460018161423
"66",51764,1.26482213438735
"67",51765,1.29090909090909
"68",51766,1.24189372998113
"69",51767,1.3622032288699
"70",51768,1.33694425637554
"71",51769,1.39408768810352
"72",51770,1.41796094737271
"73",51771,1.21966911764706
"74",51772,1.31438679245283
"75",51773,1.34433656957929
"76",51774,1.37253066844051
"77",51775,1.41695702671312
"78",51776,1.43589743589744
"79",51777,1.38340643274854
"80",51778,1.27032258064516
"81",51779,1.38688429871443
"82",51780,1.39766081871345
"83",51781,1.29332119695073
"84",51782,1.33084898472954
"85",51783,1.33191015597071
"86",51784,1.34960433564189
"87",51785,1.35363247863248
"88",51786,1.32196382428941
"89",51787,1.28838645910551
"90",51788,1.33169402397224
"91",51789,1.30468657306704
"92",51790,1.32831298092321
"93",51791,1.3592435073749
"94",51792,1.36837402800463
"95",51793,1.33544350386456
"96",51794,1.30945710608011
"97",51795,NA
"98",51796,1.3161038961039
"99",51797,1.38359788359788
"100",51798,1.26484647913219
"101",51799,1.35507749248207
"102",51800,1.36630847029077
"103",51801,1.34089166392814
"104",51802,1.38990412289015
"105",51803,1.31285585855559
"106",51804,1.28345280764636
"107",51805,1.30184548013763
"108",51806,1.3510122611919
"109",51807,1.27285581545671
"110",51808,1.24520577461754
"111",51809,1.37215543151567
"112",51810,1.38233301720634
"113",51811,1.25141075141075
"114",51812,1.34672619047619
"115",51813,1.33587037629251
"116",51814,1.35402298850575
"117",51815,1.30084669428932
"118",51816,1.32103726892001
"119",51817,1.33133211180851
"120",51818,1.37142857142857
"121",51819,1.38437339496662
"122",51820,1.3970630168235
"123",51821,1.32670203359859
"124",51822,1.31453634085213
"125",51823,1.36871886083981
"126",51824,1.31372549019608
"127",51825,1.3016330451489
"128",51826,1
"129",51827,1.24852071005917
"130",51828,1.35488215488215
"131",51829,1.32700186219739
"132",51830,1.35430268931203
"133",51831,1.21818181818182
"134",51832,1.32212885154062
"135",51833,1.33123689727463
"136",51834,1.32505175983437
"137",51835,1.31868131868132
"138",51836,1.24748810153358
"139",51837,1.35133104336625
"140",51838,1.32221948818898
"141",51839,1.37098039215686
"142",51840,1.38219618764104
"143",51841,1.31078510125565
"144",51842,1.38983103977932
"145",51843,1.39393939393939
"146",51844,1.29365079365079
"147",51845,1.35126050420168
"148",51846,1.32459677419355
"149",51847,1.32142857142857
"150",51848,1.33164005805515
"151",51849,1.32976536904011
"152",51850,1.35586326950467
"153",51851,1.33143939393939
"154",51852,1.27342549923195
"155",51853,1.30446627829464
"156",51854,1.27423347933727
"157",51855,1.28853754940711
"158",51856,1.39528763919008
"159",51857,1.34976525821596
"160",51858,1.26456605859591
"161",51859,1.33131584256555
"162",51860,1.391065830721
"163",51861,1.30429522081065
"164",51862,1.33940062511491
"165",51863,1.34066567312469
"166",51864,1.31987769810359
"167",51865,1.27513227513228
"168",51866,1.27641903263174
"169",51867,1.37516869095816
"170",51868,1.29064147434717
"171",51869,1.32137762642164
"172",51870,1.29850746268657
"173",51871,1.28278388278388
"174",51872,1.44852941176471
"175",51873,1.34209154415598
"176",51874,1.33993115318417
"177",51875,1.25426515930113
"178",51876,1.31082258626699
"179",51877,1.3615991851286
"180",51878,1.36537490720119
"181",51879,1.35936285936286
"182",51880,1.28361813624972
"183",51881,1.3758821792411
"184",51882,1.29217497385849
"185",51883,1.29644268774704
"186",51884,1.34187942501609
"187",51885,1.33516399694889
"188",51886,1.39129188111998
"189",51887,1.37742185082018
"190",51888,1.41158576095927
"191",51889,1.35760284505959
"192",51890,1.31662174303684
"193",51891,1.31103376261747
"194",51892,1.2109756097561
"195",51893,1.20352859204698
"196",51894,1.33835192902272
"197",51895,1.34407493340208
"198",51896,1.27961882879698
"199",51897,1.31597802722713
"200",51898,1.40274231545092
