"","V1"
"1",NA
"2",1
"3",0.6
"4",0.428571428571429
"5",0.681818181818182
"6",0.666666666666667
"7",0.574468085106383
"8",0.689655172413793
"9",0.76551724137931
"10",0.760765550239234
"11",0.714285714285714
"12",0.698507462686567
"13",0.700680272108844
"14",0.706502636203866
"15",0.712912087912088
"16",0.694158075601375
"17",0.718385650224215
"18",0.738562091503268
"19",0.743636363636364
"20",0.767062314540059
"21",0.78017420157611
"22",0.782515991471215
"23",0.776315789473684
"24",0.779483037156704
"25",0.782394366197183
"26",0.764108108108108
"27",0.768152132155206
"28",0.781399966903856
"29",0.780211702440459
"30",0.786239495798319
"31",0.783217620301652
"32",0.784485556637455
"33",0.776721377101681
"34",0.766341096919609
"35",0.770350590059437
"36",0.767789373814042
"37",0.76650260567458
"38",0.761582227038743
"39",0.751646223369916
"40",0.75554766554234
"41",0.759891008174387
"42",0.751675411709699
"43",0.743413173652695
"44",0.735380046937114
"45",0.738455360728149
"46",0.74123788217748
"47",0.744809186869273
"48",0.739861121371057
"49",0.739861121371057
"50",0.742960288808664
"51",0.743536577463876
"52",0.7356684910086
"53",0.737801310554645
"54",0.730626993761116
"55",0.737677725118483
"56",0.742392003562769
"57",0.739056643801711
"58",0.737121721587088
"59",0.737089902002556
"60",0.740800224849933
"61",0.734717730938559
"62",0.727703749020208
"63",0.723260232030544
"64",0.728720730713902
"65",0.728720730713902
"66",0.722288195975978
"67",0.718306408141263
"68",0.723761337693589
"69",0.719338990620813
"70",0.723716896130689
"71",0.722258770457688
"72",0.723395790554415
"73",0.718015468779476
"74",0.721899016016663
"75",0.725340077927405
"76",0.729558591128526
"77",0.73259130650462
"78",0.735880316762162
"79",0.735539461959922
"80",0.738472432795577
"81",0.742960513250037
"82",0.746052013740722
"83",0.749687217216823
"84",0.753260992002403
"85",0.755934595252324
"86",0.756529876611673
"87",0.756981509245377
"88",0.759300787763786
"89",0.761240844039631
"90",0.761263325813537
"91",0.763080096253008
"92",0.764953023686648
"93",0.767406732140112
"94",0.766794748803398
"95",0.77020828929451
"96",0.772441460153071
"97",0.771755998567506
"98",0.772333408990774
"99",0.773825532097126
"100",0.773825532097126
"101",0.775432990032122
"102",0.776326540421032
"103",0.77878106449535
"104",0.777572394490573
"105",0.780423232647931
"106",0.783592615423192
"107",0.786186874372062
"108",0.782680907014832
"109",0.78435759539122
"110",0.786159891590551
"111",0.786002699865007
"112",0.786837158139183
"113",0.783264695298533
"114",0.783264695298533
"115",0.784911490825116
"116",0.787310179807772
"117",0.788419561038379
"118",0.784466897593767
"119",0.785327665515651
"120",0.782378680076408
"121",0.782378680076408
"122",0.783446182582302
"123",0.783446182582302
