CUE, TARGET, NORMED?, #G, #P, FSG
ADVIL, PILL, YES,150,10,0.067
ADVIL, CRAMP, YES,150,3,0.02
ADVIL, HAMMER, YES,150,3,0.02
ADVIL, RELIEF, YES,150,3,0.02
ADVIL, ACHE, YES,150,2,0.013
ADVIL, BAYER, NO,150,2,0.013
ADVIL, DRUG, YES,150,2,0.013
ADVIL, RELIEVE, NO,150,2,0.013
ADVISE, HELP, YES,153,40,0.261
ADVISE, COUNSEL, YES,153,16,0.105
ADVISE, TELL, YES,153,5,0.033
ADVISE, FRIEND, YES,153,4,0.026
ADVISE, SUGGEST, YES,153,4,0.026
ADVISE, ADVICE, YES,153,3,0.02
ADVISE, GIVE, YES,153,3,0.02
ADVISE, MOM, YES,153,3,0.02
ADVISE, OPINION, YES,153,3,0.02
ADVISE, TALK, YES,153,3,0.02
ADVISE, TEACH, YES,153,3,0.02
ADVISE, ACADEMIC, NO,153,2,0.013
ADVISE, COLUMN, YES,153,2,0.013
ADVISE, COUNSELOR, NO,153,2,0.013
ADVISE, GUIDE, YES,153,2,0.013
ADVISE, INFORM, YES,153,2,0.013
ADVISE, LECTURE, YES,153,2,0.013
ADVISE, LUCI, NO,153,2,0.013
ADVISE, TEACHER, YES,153,2,0.013
AEROBICS, EXERCISE, YES,150,49,0.327
AEROBICS, SWEAT, YES,150,19,0.127
AEROBICS, DANCE, YES,150,11,0.073
AEROBICS, WORKOUT, YES,150,10,0.067
AEROBICS, FUN, YES,150,6,0.04
AEROBICS, SHAPELY, NO,150,5,0.033
AEROBICS, FITNESS, YES,150,4,0.027
AEROBICS, JUMP, YES,150,4,0.027
AEROBICS, GIRLS, YES,150,3,0.02
AEROBICS, PAIN, YES,150,3,0.02
AEROBICS, RUN, YES,150,3,0.02
AEROBICS, STEP, YES,150,3,0.02
AEROBICS, TIRING, NO,150,3,0.02
AEROBICS, ACTIVITY, YES,150,2,0.013
AEROBICS, SPORT, YES,150,2,0.013
AFFAIR, CHEAT, YES,148,21,0.142
AFFAIR, LOVE, YES,148,20,0.135
AFFAIR, SEX, YES,148,11,0.074
AFFAIR, ADULTERY, YES,148,10,0.068
AFFAIR, MARRIAGE, YES,148,10,0.068
AFFAIR, EVENT, YES,148,5,0.034
AFFAIR, FAMILY, YES,148,4,0.027
AFFAIR, RELATIONSHIP, YES,148,4,0.027
AFFAIR, FLING, YES,148,3,0.02
AFFAIR, PARTY, YES,148,3,0.02
AFFAIR, PEOPLE, YES,148,3,0.02
