"","V1"
"1",0.486283028747174
"2",0.625435739245888
"3",0.750426293447298
"4",0.936138407497276
"5",1.08269490383853
"6",1.24282815301708
"7",1.32124515134822
"8",1.44665252911549
"9",1.59346120788235
"10",1.74504761774062
"11",1.92046467072489
"12",2.1214849129354
"13",2.29705803922821
"14",2.44561844054511
"15",2.58382729579591
"16",2.70613657753693
"17",2.76302401914609
"18",2.83403396080198
"19",2.8996044963829
"20",2.95453637389405
"21",3.0383946096186
"22",3.12764013859052
"23",3.18272107850569
"24",3.24056226550262
"25",3.28052974612336
"26",3.34186212465591
"27",3.42591507391285
"28",3.48043378176163
"29",3.55313857452439
"30",3.61263724028173
"31",3.6202144690102
"32",3.63598734308713
"33",3.64727750666791
"34",3.66005475619073
"35",3.66661076217381
"36",3.66859824856953
"37",3.6715991645832
"38",3.67032562435669
"39",3.66983742645611
"40",3.67168846609794
"41",3.66856528063192
"42",3.66842708808247
"43",3.66758927102033
"44",3.67093713585974
"45",3.67323510562833
"46",3.67557691738873
"47",3.67507385602802
"48",3.6770585817503
"49",3.68004615692626
"50",3.68407914841324
"51",3.68924581759456
"52",3.69553378382489
"53",3.70039546835091
"54",3.70167231925536
"55",3.70578562618522
"56",3.70956700319008
"57",3.71712745638335
"58",3.72710650468369
"59",3.73869161456443
"60",3.7523749947866
"61",3.76343788144719
"62",3.77426413436571
"63",3.78711979524429
"64",3.80244970156594
"65",3.81942554520092
"66",3.8372668226135
"67",3.86244632820839
"68",3.88636151967021
"69",3.91213325337808
"70",3.93521162804937
"71",3.96083805369735
"72",3.98785401971193
"73",4.01349146065734
"74",4.04179238336654
"75",4.07180277846582
"76",4.101139959155
"77",4.13283651600278
"78",4.16574880120844
"79",4.19996294585361
"80",4.23876057901906
"81",4.27571852599079
"82",4.31455390250044
"83",4.35433281774652
"84",4.39524314082517
"85",4.43566874740899
"86",4.47741982030694
"87",4.51876120350544
"88",4.56220033456806
"89",4.60562380327937
"90",4.64874853934069
"91",4.69287628023962
"92",4.735565812595
"93",4.77976210499356
"94",4.82330349498268
"95",4.86828770112213
"96",4.91347221812784
"97",4.95657237098411
"98",5.00253162709914
"99",5.04844295597273
"100",5.09094509474672
"101",5.13301326604067
"102",5.17398037331202
"103",5.21436653539049
"104",5.25539068713619
"105",5.29610739598202
"106",5.33801320183193
"107",5.3783020100353
"108",5.41830837395581
"109",5.46008284416531
"110",5.49995664705376
"111",5.54073719532326
"112",5.57491877439594
"113",5.60704971097232
"114",5.63879425729554
"115",5.67152408477262
"116",5.70379763555122
"117",5.73628132049937
"118",5.76947927247382
"119",5.80122425297653
"120",5.83361918869771
"121",5.86619199669032
"122",5.89716499007989
"123",5.92852460785287
"124",5.95984805786981
"125",5.99142523287974
"126",6.02299362287645
"127",6.05436964708941
"128",6.08615926771128
"129",6.11747186987865
"130",6.14771521284912
"131",6.17682474863395
"132",6.20598686831686
"133",6.23368140733876
"134",6.26097420513415
"135",6.28830199331763
"136",6.31678509503392
"137",6.34449303973762
"138",6.37275271985416
"139",6.40089500147235
"140",6.42932874742683
"141",6.45827144784907
"142",6.48637459737835
"143",6.51517128948915
"144",6.54469675555115
"145",6.57446201093261
"146",6.60445266122947
"147",6.63001679893201
"148",6.6558171553685
"149",6.68065738374579
"150",6.70644381251618
"151",6.73204490135351
"152",6.75773149870502
"153",6.78306975963358
