"","V1"
"1",0.258668233115795
"2",0.205799378528787
"3",0.196126567062582
"4",0.159009765802823
"5",0.208487463640546
"6",0.235406712297176
"7",0.233816006950402
"8",0.282375470756592
"9",0.337655245162339
"10",0.370727994045722
"11",0.386760566289775
"12",0.393126243780184
"13",0.432838790981368
"14",0.471700826297939
"15",0.529100951892678
"16",0.53557140935597
"17",0.574210726876704
"18",0.605749875670796
"19",0.636934816303092
"20",0.698270348946465
"21",0.746121967894302
"22",0.791490955668287
"23",0.802387473543963
"24",0.863361246164443
"25",0.888996048272882
"26",0.913909732307023
"27",0.934619252839902
"28",0.995809242709256
"29",1.02172935542044
"30",1.07833332768699
"31",1.10675804043458
"32",1.15632649474759
"33",1.17915096884081
"34",1.22429786856353
"35",1.26410590438277
"36",1.31745157071026
"37",1.35795125714999
"38",1.37369277984988
"39",1.39855433823049
"40",1.47106690950876
"41",1.51039770462967
"42",1.54777682266941
"43",1.58600499070874
"44",1.59645466293064
"45",1.63449895910186
"46",1.6746131123857
"47",1.70681443929652
"48",1.72953062266854
"49",1.72953062266854
"50",1.75794165135236
"51",1.79333384186502
"52",1.82696359007485
"53",1.86790350497142
"54",1.85741720663637
"55",1.91138559487599
"56",1.96606752588
"57",1.98841904614044
"58",2.02902223939532
"59",2.05985291916637
"60",2.0944664949475
"61",2.11657983373947
"62",2.10501109465008
"63",2.15288018671012
"64",2.21041438458584
"65",2.21041438458584
"66",2.21356961164022
"67",2.21186040766342
"68",2.25986867309158
"69",2.269209548327
"70",2.30611490773971
"71",2.33093643629823
"72",2.3610358468351
"73",2.38099534303626
"74",2.42324740253106
"75",2.45462665945494
"76",2.5110711326031
"77",2.53668187011365
"78",2.57689191831298
"79",2.60064283976233
"80",2.63555388449539
"81",2.68015747570944
"82",2.71482186106892
"83",2.76555303345948
"84",2.81225387396491
"85",2.84955146763531
"86",2.88497191648867
"87",2.93436872315246
"88",2.96619075941828
"89",3.00340312229519
"90",3.02958683474022
"91",3.07777005029632
"92",3.11718676901843
"93",3.16258385284779
"94",3.18568061098214
"95",3.23755895019019
"96",3.27392581548061
"97",3.30822648847906
"98",3.34571287390036
"99",3.38202474346946
"100",3.38202474346946
"101",3.41219377843884
"102",3.44051120847847
"103",3.48403725462912
"104",3.50718905404962
"105",3.56017393725454
"106",3.6087121940703
"107",3.66058866993911
"108",3.66526013413878
"109",3.70957987316693
"110",3.74812687477325
"111",3.77186185255644
"112",3.81774040161307
"113",3.82557037046393
"114",3.82557037046393
"115",3.86461724169971
"116",3.91912141686764
"117",3.9629502906717
"118",3.95655194945875
"119",3.9995344491021
"120",4.00970416362497
"121",4.00970416362497
"122",4.04465026970974
"123",4.04465026970974
"124",4.0594665642678
"125",4.11213651563076
"126",4.16082475567619
"127",4.19414217365476
"128",4.19725986630375
"129",4.21478890966894
"130",4.25435649779013
"131",4.29517086670007
"132",4.34518419532618
"133",4.37354553175473
"134",4.40333886566432
"135",4.3999492238103
"136",4.44058106770498
"137",4.44636846572513
"138",4.45557596972563
"139",4.48734838446756
"140",4.53353061419011
"141",4.55528925911423
"142",4.59773297188775
"143",4.63356540149756
"144",4.68692385327519
"145",4.72683024369436
"146",4.73157181713969
"147",4.77218895134574
"148",4.82397891256602
"149",4.83603306226103
"150",4.87036905213013
"151",4.90512584478401
"152",4.92342167936494
"153",4.90931684236302
"154",4.95246211214733
"155",4.98150075086915
"156",5.03975123977002
"157",5.09485786505498
"158",5.15457811117638
"159",5.19334524268802
"160",5.22811436538312
"161",5.27671677098426
"162",5.27671677098426
"163",5.2742131819944
"164",5.29061899727872
"165",5.32888909057979
"166",5.35253066386275
"167",5.35165202272317
"168",5.40356767438523
"169",5.40385417276419
"170",5.44294433039634
"171",5.4821056446368
"172",5.53403513243332
"173",5.5286400574196
"174",5.56330833754852
"175",5.5760121013901
"176",5.59151722942514
"177",5.61288009091556
"178",5.65920598893983
"179",5.69548518414222
"180",5.74769092373291
"181",5.74261163179553
"182",5.76632314034871
"183",5.79036216419357
"184",5.83265834670864
"185",5.87879182729571
"186",5.8926390561032
"187",5.92033749859236
"188",5.96614286114266
"189",5.99499151350788
"190",6.0333781901218
"191",6.06108820499657
"192",6.11462840836526
"193",6.14185262728548
"194",6.15131000847566
"195",6.19079810715186
"196",6.23242134118735
"197",6.27827860617671
"198",6.30526291330665
"199",6.34063207777213
"200",6.3404130611234
"201",6.37644054658924
"202",6.4130009779456
"203",6.4533995813908
"204",6.49508944793061
"205",6.52948255055063
"206",6.53391653515403
"207",6.58945147633888
"208",6.63223368678884
"209",6.66596822486812
"210",6.70391428950206
"211",6.68695765884923
"212",6.73148960255457
"213",6.77735130725542
"214",6.80812010172674
"215",6.82530015306218
"216",6.83381483057341
"217",6.82161250676879
"218",6.82901029503166
"219",6.84564975983039
"220",6.8772510983292
"221",6.93212118052244
"222",6.97970005252926
"223",7.00559743564812
"224",7.00158118978521
"225",7.00158118978521
"226",7.00193096515055
"227",7.04710635153898
"228",7.08321983952867
