"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1.33333333333333,1.33333333333333,1,1,1.33333333333333,1,1,1,1,1,1,1,1.33333333333333,1.33333333333333,1,1.33333333333333,1,1,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1,1,1,1,1,1.33333333333333,1,1,1,1,1,1,1.33333333333333,1,1,1.33333333333333,1.33333333333333,1,1,1.33333333333333,1.33333333333333,1,1.33333333333333,1.33333333333333,1.33333333333333,1,1,1,1,1.33333333333333,1,1,1,1,1.33333333333333,1,1,1.33333333333333,1,1,1,1.33333333333333,1.33333333333333,1,1,1.33333333333333,1,1,1,1,1,1,1.33333333333333,1.33333333333333,1,1,1.33333333333333,1.33333333333333,1.33333333333333,1,1,1,1,1.33333333333333,1.33333333333333,1,1.33333333333333,1.33333333333333,1.33333333333333,1,1.33333333333333,1,1,1,1,1.33333333333333
"4",1,1,1.33333333333333,1.2,1,1.2,1,1.33333333333333,1.2,1,1.2,1,1,1.2,1.33333333333333,1,1.33333333333333,1.33333333333333,1,1.33333333333333,1.33333333333333,1.2,1.33333333333333,1,1.2,1,1.33333333333333,1.33333333333333,1,1.33333333333333,1,1.1,1.33333333333333,1,1.33333333333333,1.2,1.33333333333333,1.33333333333333,1.33333333333333,1.2,1.33333333333333,1.33333333333333,1,1.33333333333333,1.33333333333333,1,1.2,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1,1,1,1.2,1.33333333333333,1,1.33333333333333,1.33333333333333,1.33333333333333,1.2,1,1,1.3,1.33333333333333,1,1,1.33333333333333,1.33333333333333,1.2,1.33333333333333,1,1.2,1.33333333333333,1.2,1,1,1,1.2,1.2,1.33333333333333,1.33333333333333,1,1.2,1,1.2,1.33333333333333,1.2,1.2,1.33333333333333,1.2,1.33333333333333,1.33333333333333,1.2,1,1.33333333333333,1,1,1
"5",1.2,1.2,1.2,1.2,1.26666666666667,1.2,1.2,1.2,1.2,1.2,1.1,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.1,1.2,1.2,1.6,1.2,1.2,1.6,1.2,1.46666666666667,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.26666666666667,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.46666666666667,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
"6",1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.2,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.46666666666667,1.26666666666667,1.46666666666667,1.26666666666667,1.26666666666667,1.46666666666667
"7",1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.47619047619048,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.28571428571429,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.19047619047619,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.33333333333333,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.19047619047619,1.42857142857143,1.19047619047619,1.42857142857143,1.42857142857143,1.42857142857143,1.33333333333333,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143
"8",1.35714285714286,1.35714285714286,1.39285714285714,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.39285714285714,1.35714285714286,1.35714285714286,1.35714285714286,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.39285714285714,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.46428571428571,1.35714285714286,1.35714285714286,1.35714285714286,1.46428571428571,1.35714285714286,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.42857142857143,1.35714285714286,1.46428571428571,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.35714285714286,1.39285714285714,1.35714285714286,1.42857142857143,1.46428571428571,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.42857142857143,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286,1.35714285714286
"9",1.36111111111111,1.38888888888889,1.33333333333333,1.33333333333333,1.30555555555556,1.36111111111111,1.38888888888889,1.44444444444444,1.36111111111111,1.38888888888889,1.30555555555556,1.30555555555556,1.38888888888889,1.30555555555556,1.38888888888889,1.38888888888889,1.33333333333333,1.30555555555556,1.30555555555556,1.38888888888889,1.33333333333333,1.38888888888889,1.36111111111111,1.30555555555556,1.30555555555556,1.36111111111111,1.36111111111111,1.38888888888889,1.33333333333333,1.30555555555556,1.36111111111111,1.36111111111111,1.44444444444444,1.30555555555556,1.30555555555556,1.30555555555556,1.30555555555556,1.30555555555556,1.33333333333333,1.36111111111111,1.33333333333333,1.38888888888889,1.36111111111111,1.38888888888889,1.38888888888889,1.36111111111111,1.36111111111111,1.30555555555556,1.36111111111111,1.38888888888889,1.36111111111111,1.30555555555556,1.36111111111111,1.36111111111111,1.36111111111111,1.38888888888889,1.38888888888889,1.30555555555556,1.38888888888889,1.38888888888889,1.30555555555556,1.36111111111111,1.30555555555556,1.36111111111111,1.30555555555556,1.30555555555556,1.38888888888889,1.30555555555556,1.36111111111111,1.33333333333333,1.38888888888889,1.36111111111111,1.36111111111111,1.30555555555556,1.30555555555556,1.30555555555556,1.38888888888889,1.36111111111111,1.38888888888889,1.36111111111111,1.36111111111111,1.36111111111111,1.38888888888889,1.30555555555556,1.38888888888889,1.38888888888889,1.30555555555556,1.38888888888889,1.30555555555556,1.36111111111111,1.36111111111111,1.30555555555556,1.30555555555556,1.38888888888889,1.30555555555556,1.36111111111111,1.36111111111111,1.38888888888889,1.38888888888889,1.30555555555556
"10",1.33333333333333,1.4,1.33333333333333,1.33333333333333,1.35555555555556,1.4,1.37777777777778,1.37777777777778,1.37777777777778,1.31111111111111,1.31111111111111,1.31111111111111,1.33333333333333,1.31111111111111,1.33333333333333,1.31111111111111,1.31111111111111,1.31111111111111,1.4,1.37777777777778,1.31111111111111,1.28888888888889,1.35555555555556,1.31111111111111,1.37777777777778,1.31111111111111,1.33333333333333,1.31111111111111,1.31111111111111,1.28888888888889,1.33333333333333,1.37777777777778,1.31111111111111,1.31111111111111,1.4,1.31111111111111,1.35555555555556,1.4,1.33333333333333,1.35555555555556,1.33333333333333,1.33333333333333,1.33333333333333,1.31111111111111,1.31111111111111,1.31111111111111,1.31111111111111,1.35555555555556,1.31111111111111,1.33333333333333,1.28888888888889,1.33333333333333,1.28888888888889,1.31111111111111,1.31111111111111,1.4,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.31111111111111,1.4,1.33333333333333,1.33333333333333,1.31111111111111,1.31111111111111,1.37777777777778,1.37777777777778,1.37777777777778,1.31111111111111,1.31111111111111,1.33333333333333,1.4,1.4,1.33333333333333,1.35555555555556,1.31111111111111,1.33333333333333,1.31111111111111,1.33333333333333,1.37777777777778,1.31111111111111,1.33333333333333,1.33333333333333,1.31111111111111,1.33333333333333,1.31111111111111,1.33333333333333,1.31111111111111,1.35555555555556,1.31111111111111,1.35555555555556,1.35555555555556,1.31111111111111,1.28888888888889,1.33333333333333,1.33333333333333,1.31111111111111,1.4,1.28888888888889
