"","V1"
"1",1
"2",1
"3",1.33333333333333
"4",1.6
"5",1.46666666666667
"6",1.47619047619048
"7",1.53571428571429
"8",1.47222222222222
"9",1.42222222222222
"10",1.4
"11",1.42424242424242
"12",1.41025641025641
"13",1.3956043956044
"14",1.37142857142857
"15",1.35833333333333
"16",1.36029411764706
"17",1.33986928104575
"18",1.32748538011696
"19",1.32105263157895
"20",1.3047619047619
"21",1.29437229437229
"22",1.28853754940711
"23",1.28985507246377
"24",1.28
"25",1.27384615384615
"26",1.28205128205128
"27",1.28042328042328
"28",1.26600985221675
"29",1.25977011494253
"30",1.25591397849462
"31",1.25806451612903
"32",1.25568181818182
"33",1.2602495543672
"34",1.26890756302521
"35",1.26984126984127
"36",1.26876876876877
"37",1.26600284495021
"38",1.27125506072874
"39",1.28205128205128
"40",1.2780487804878
"41",1.27526132404181
"42",1.28349944629014
"43",1.29492600422833
"44",1.30505050505051
"45",1.30434782608696
"46",1.30157261794635
"47",1.30053191489362
"48",1.30612244897959
"49",1.30612244897959
"50",1.30285714285714
"51",1.30352941176471
"52",1.31146304675716
"53",1.30841799709724
"54",1.31586303284416
"55",1.31178451178451
"56",1.30974025974026
"57",1.31140350877193
"58",1.31215970961887
"59",1.31268264172998
"60",1.31016949152542
"61",1.31693989071038
"62",1.32839767318879
"63",1.33230926779314
"64",1.32787698412698
"65",1.32787698412698
"66",1.33701923076923
"67",1.33986013986014
"68",1.33649932157395
"69",1.33933274802458
"70",1.33461210571185
"71",1.33416149068323
"72",1.33360160965795
"73",1.34115805946792
"74",1.33904109589041
"75",1.33654202147353
"76",1.33333333333333
"77",1.33157894736842
"78",1.32946001367054
"79",1.32933732933733
"80",1.32814021421616
"81",1.32436708860759
"82",1.3212962962963
"83",1.31857874134297
"84",1.31531002057009
"85",1.31353987378084
"86",1.31288515406162
"87",1.31135430916553
"88",1.3090082865544
"89",1.30799373040752
"90",1.30873340143003
"91",1.30736579275905
"92",1.30573870573871
"93",1.30363115145724
"94",1.30364656381487
"95",1.30016014641958
"96",1.2989921612542
"97",1.29868421052632
"98",1.29896907216495
"99",1.29623395750053
"100",1.29623395750053
"101",1.29519686662544
"102",1.29434343434343
"103",1.29168316831683
"104",1.29120559114735
"105",1.28935846183133
"106",1.28696788648245
"107",1.28461538461538
"108",1.28787061994609
"109",1.28672191853289
"110",1.28487365870543
"111",1.28457356439008
"112",1.28356964136781
"113",1.28648648648649
"114",1.28648648648649
"115",1.28523166023166
"116",1.28365992414665
"117",1.28272007452259
"118",1.28741418764302
"119",1.28590704647676
"120",1.28824049513705
"121",1.28824049513705
"122",1.28828045777198
"123",1.28828045777198
"124",1.2899871813132
"125",1.2890756302521
"126",1.28719008264463
"127",1.28559815743124
"128",1.2880181260829
"129",1.28822449514818
"130",1.28709677419355
"131",1.28673015873016
"132",1.28446444194476
"133",1.28346456692913
"134",1.28197674418605
"135",1.28622540250447
"136",1.28479154433353
"137",1.2882257691418
"138",1.29141034404192
"139",1.29042756144092
"140",1.28944168048646
"141",1.28976034858388
"142",1.28832116788321
"143",1.28742198243944
"144",1.28589302471067
"145",1.2841726618705
"146",1.28622087132725
"147",1.28458695435021
"148",1.28306904363242
"149",1.28457653457653
"150",1.28352490421456
"151",1.28209730751063
"152",1.28347777467151
"153",1.28810443096157
"154",1.28777435153274
"155",1.2876062639821
"156",1.28600441501104
"157",1.2840711049146
"158",1.28233574131407
"159",1.28240387063916
"160",1.28144113950566
"161",1.27948717948718
"162",1.27948717948718
"163",1.28335783112853
"164",1.28339917761832
"165",1.28278003343683
"166",1.28372641509434
"167",1.28625776397516
"168",1.28464074840886
"169",1.28629856850716
"170",1.28535089031872
"171",1.28425720620843
"172",1.28243884629427
"173",1.28511651396003
"174",1.28421727972626
"175",1.28585517047055
"176",1.28757396449704
"177",1.28806329549364
"178",1.28695770433837
"179",1.28626159430031
"180",1.28556242110159
"181",1.28853858784893
"182",1.2888961038961
"183",1.28794298921418
"184",1.28686599377896
"185",1.28560667880234
"186",1.28684047175667
"187",1.28667894413751
"188",1.28541072187481
"189",1.2846333993875
"190",1.28379662627703
"191",1.28407755581669
"192",1.28328974135426
"193",1.28330745788051
"194",1.28484469222892
"195",1.28391309242373
"196",1.28326371484266
"197",1.28244695508405
"198",1.28206806282723
"199",1.28157383419689
"200",1.28460018161423
"201",1.28363732487444
"202",1.28294086865515
"203",1.28250284885528
"204",1.2817002512434
"205",1.28150855286534
"206",1.28381909547739
"207",1.28258706467662
"208",1.28156248460667
"209",1.28132468419256
"210",1.28049840625906
"211",1.28455284552846
"212",1.28344778593417
"213",1.28230383190282
"214",1.28116871051654
"215",1.28142252484358
"216",1.28393711551606
"217",1.28810652222974
"218",1.28972547616919
"219",1.29063690318009
"220",1.29033390373393
"221",1.28919800043469
