"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1106","43.5830403773942","42.8469110694231","44.0699160263002","43.7588954475032","45.0464231033606","44.7672738904022","44.402165859564","44.6887543591171","44.7273614101283","43.5145798280429","41.7764734701101","43.837992279044","44.778684378296","44.7122167101033","43.1674815211021","44.9760461577086","45.0392479319893","42.5927050858854","45.0747200213052","42.9889081822151","44.4356066315461","42.6364707469514","44.6801474907066","44.1644010586979","44.2531995392393","45.7554376820501","44.207715187726","44.8696710190052","43.9265081499739","45.7769030471071","43.5853071142914","44.9000755521831","45.098187936163","44.2293839947001","44.0252977912791","45.1141691794298","44.5680890688842","43.4654873501132","42.3352292864341","44.5673655877686","44.5712626133669","44.1502165759948","44.3701571238269","43.2685910875435","44.4357666258301","44.9906732870234","44.0742151962949","42.5266535309134","42.1464515649929","44.73733930481"
"1107","43.6427740570564","43.0200871775122","44.0964257327077","43.9175908284433","45.0476629451781","44.7406076209825","44.4886314288069","44.7413625552087","44.8623542486692","43.5039689579791","41.8148927407083","43.9635499247237","44.8294644768055","44.7793116881708","43.1894925890898","45.0241514854053","45.189075741656","42.7706318060398","45.14517683679","43.1388888908606","44.4850759890393","42.6179763524896","44.6371717716999","44.33002808924","44.4161320859104","45.7438878513221","44.2030747610017","44.8667190161008","43.9226362055057","45.8454055469564","43.7367063308942","45.0200027830904","45.0489631131692","44.2170852074882","44.1772083009172","45.217106575689","44.6381209284434","43.6123268307491","42.2961509717474","44.5970418701817","44.4985265941706","44.1653289210985","44.3190594999062","43.4799304487078","44.4729427647923","45.0912905790052","44.0757860274275","42.7012507516608","42.1184423519102","44.8205202218706"
"1108","43.613124375199","43.0274037364104","44.213626223544","43.9132962982127","45.0601218082907","44.8249806041797","44.4860888752106","44.9252991040349","44.8999086296246","43.70161198613","41.9553665631568","44.0800441579449","44.8677850996131","44.7836395872569","43.238473489488","44.969155320409","45.2417249693998","42.7664897291185","45.233591445541","43.2082023646989","44.4704047948782","42.5644456011855","44.6232542317112","44.2919002566093","44.6050871311384","45.7624899384582","44.314727680989","44.9421935187276","44.0147445853279","45.9925606915508","43.7212011552562","44.9665953312775","45.1346510773943","44.3549061554142","44.159028538881","45.2274416832287","44.7571287978214","43.7304877561606","42.4682728606169","44.6523608387937","44.5408919275896","44.17307523048","44.2950542155695","43.4523372080383","44.5259663958617","45.2623073267307","44.1093677082094","42.6764021892015","42.211669802231","44.8703291679077"
"1109","43.7040182953269","43.1769543851131","44.3181621238295","43.8856360548185","45.0973569290161","44.7741925475656","44.4896798077586","44.9105001502131","44.9433332724976","43.7479785266176","42.1018771444493","44.111158164162","44.8371883608445","44.7366015161104","43.2139353439321","44.940192773939","45.251187343189","42.7725364379994","45.2120912324663","43.3845722232406","44.4601203066344","42.5334717992589","44.7235502449832","44.4665923160849","44.645380598057","45.8255937525481","44.326756528829","45.1017937431599","43.9693491577696","46.021977931868","43.8254948823143","45.0192973300877","45.1843714787489","44.3991533903774","44.2338885038378","45.3538111303389","44.8768861698099","43.7164792001575","42.4709367553706","44.7580435241105","44.6163098807092","44.2145136921913","44.3251519877488","43.4096326147794","44.6312895389151","45.2584069200804","44.1223720874396","42.6131322076568","42.3063507559018","44.9150969428217"
"1110","43.7509124336371","43.13923806345","44.4867452835889","43.891350323916","45.2216876978242","44.9044313216795","44.6478357810807","44.9597466202832","44.9850432881044","43.7589101675816","42.0822818306258","44.2541549673231","44.7941440119504","44.9112394806219","43.3447164746458","45.097063889653","45.3673119776546","42.900335027221","45.3274564798159","43.3850447970832","44.6352341336847","42.5573750803887","44.8081209213676","44.6142165179896","44.8188644393559","45.8772010163002","44.3989973865939","45.0891131014043","43.9683175936523","46.1186421435459","43.8125964487597","45.1201886850912","45.3041594453245","44.6241873771021","44.228048934955","45.3514316825958","44.9502410906982","43.7542340802606","42.6244840433089","44.972602273134","44.7813193108717","44.3625854122927","44.4144425192974","43.4887844714836","44.8088310132474","45.1850097467863","44.1648565258844","42.81951397899","42.2480321876767","44.9328158031252"
"1111","43.7605262500141","43.2379823690557","44.5921044203739","43.8539778211063","45.2712926310789","45.1010484032477","44.6728705696824","45.0006090363459","44.977706617226","43.767027225685","42.2410048119094","44.4211121386212","44.8730382457646","44.9345601815197","43.4547409777349","45.0943798772928","45.3388221024681","42.8799423627159","45.2695460686747","43.3806320548394","44.6175997099076","42.5690402818504","44.9348639940239","44.6184001341424","44.7939519166564","45.986889844579","44.4819738691644","45.2014473758571","43.9650458496303","46.2960507986491","43.8912628684562","45.1598066515701","45.4662476225679","44.7238931316404","44.4212974882393","45.3674068762537","45.0589008117019","43.9815967686449","42.6443655244099","44.9943369793811","44.8444815596856","44.497835593604","44.4581542149234","43.5374904722306","44.9258151826595","45.2423058239483","44.1439104870211","42.8815150259251","42.2072775430871","44.947520228663"
"1112","43.7800979497179","43.3100663454459","44.5999173017883","43.894457711292","45.2727050045032","45.2154568806028","44.8296961321423","44.973906412407","45.0635707581064","43.7380808027245","42.4065355959724","44.4273179948493","44.8932629722336","44.9119463766686","43.5061185371024","45.0565100735922","45.5239613140494","43.0748954367024","45.3553749309588","43.5527332638742","44.581192597391","42.6466170669486","44.8947890114594","44.7589601214303","44.7543997846013","46.0377138391889","44.514594333503","45.3141960687765","44.1595125644103","46.2946377063476","44.0869873920663","45.314190302228","45.4626628341216","44.7283233568843","44.5599592825613","45.4248825116432","45.0619223580239","44.1304153591896","42.6245015368479","45.0937553818575","44.9402107570524","44.5508595502144","44.4984166145053","43.6440511050675","45.0899692213594","45.2116645564254","44.1473599378416","42.846326908808","42.2023407930242","44.9791662733636"
"1113","43.906683265261","43.3691762554445","44.5826479845785","44.0958670008962","45.2932910531736","45.2718030937048","44.8761750963813","44.9801631582646","45.1792150008469","43.8060539054107","42.4626776383328","44.5512238752396","45.0043894022864","44.8970306123856","43.5221989003253","45.2083254068914","45.712751066257","43.3466182608616","45.3702731607094","43.6843728542457","44.7077377702486","42.7389303313201","45.0595529322063","44.8814057559801","44.8271492160108","45.9803351719156","44.4865269208373","45.4087519165741","44.1387266339058","46.3242462174374","44.221232547473","45.348230817159","45.4530261459844","44.6861327817408","44.5586956892167","45.4026265489763","45.1952285934663","44.1938805763048","42.6200823153586","45.0875045820578","44.9871927561764","44.5737469606451","44.6080945121674","43.667552092348","45.0857210041848","45.1906909958929","44.1756851323507","42.8337168961426","42.2310497001867","45.1720879882404"
"1114","43.9266613055753","43.3766158548501","44.545675876402","44.2371869784401","45.4644680694507","45.3178221499538","44.8674805238354","44.9130632554833","45.1206685464283","43.8006616488715","42.479873803128","44.5712381149395","45.0776313206781","45.0775174345042","43.6756995650653","45.2506115038941","45.6837100259414","43.4914198281297","45.3795173017307","43.7174926503516","44.8141875909661","42.8864355533009","45.2316598979432","45.0344041307002","44.7912098662171","46.0663137140134","44.4397061743759","45.5303648614018","44.1876788375538","46.3014614731723","44.223235426102","45.4426116557755","45.5903391299717","44.8304189583824","44.7662135344577","45.3189017709528","45.1518790938742","44.2448929476644","42.669659231024","45.0506854852852","45.0628165565624","44.6493832587409","44.5302994162018","43.6424020081003","45.1077944990231","45.2267936947033","44.1685473020286","42.7811368946719","42.4198841855453","45.1354201662427"
"1115","43.9397396612697","43.4253289791911","44.5530721958693","44.3724685322433","45.5088784537876","45.2581557138699","44.9711373503995","44.9346542601527","45.2113826616643","43.7887547934041","42.676625562499","44.6727212387457","45.0383328266651","45.0631003781567","43.8224013659838","45.2783145254743","45.6747736944398","43.6229320723331","45.3747507855167","43.7445291927206","44.9883640220502","42.8962187976992","45.3203470276576","45.0518298176278","44.9543983830465","46.1653055931317","44.4934859246781","45.5926016085723","44.2515286723765","46.3143297400151","44.2640457382508","45.4406295713552","45.6307942812125","44.9795892629781","44.9543676519756","45.2821982793387","45.1320964773954","44.2420262686778","42.8080193183312","45.0138707136986","45.1848738901127","44.8494754898396","44.6279799772628","43.7297035057562","45.0907546840371","45.4333721182082","44.313026579864","42.8172118348889","42.4023764410133","45.1879115450105"
