"","id","geodesic"
"1",51699,1.37134546343935
"2",51700,1.3214274410508
"3",51701,1.36642111724985
"4",51702,1.36899509803922
"5",51703,1.36350444404136
"6",51704,1.36154255101624
"7",51705,1.36708818412953
"8",51706,1.36345726883267
"9",51707,1.39611499934235
"10",51708,1.19047619047619
"11",51709,1.35917705482923
"12",51710,1.32879976750944
"13",51711,1.19784946236559
"14",51712,1.31624649859944
"15",51713,1.25793393782383
"16",51714,1.2962578369906
"17",51715,1.33098457436679
"18",51716,1.33333333333333
"19",51717,1.29549689440994
"20",51718,1.36487230728077
"21",51719,1.30256717610628
"22",51720,1.37622980624383
"23",51721,1.36800450512153
"24",51722,1.40449220146471
"25",51723,1.34260600792041
"26",51724,1.33782215815196
"27",51725,1.40403528202938
"28",51726,1.34078436183699
"29",51727,1.38867844020386
"30",51728,1.335148215366
"31",51729,1.37262596138754
"32",51730,1.25357142857143
"33",51731,1.29273802405156
"34",51732,1.35483870967742
"35",51733,1.33376623376623
"36",51734,1.31601731601732
"37",51735,1.33333333333333
"38",51736,1.28571428571429
"39",51737,1.28541226215645
"40",51738,1.35897435897436
"41",51739,1.31503234951511
"42",51740,1.30434782608696
"43",51741,1.24500381388253
"44",51742,1.3258480649785
"45",51743,1.34186951831528
"46",51744,1.38002773925104
"47",51745,1.18873471805068
"48",51746,1.3512237011593
"49",51747,1.3723282004137
"50",51748,1.26391959798995
"51",51749,1.39160652232024
"52",51750,1.3255739703364
"53",51751,1.32411674347158
"54",51752,1.36061381074169
"55",51753,1.16691495965239
"56",51754,1.36183644189383
"57",51755,1.31390374331551
"58",51756,1.31262731750084
"59",51757,1.35277382645804
"60",51758,1.39484126984127
"61",51759,1.29906433563186
"62",51760,1.37315010570825
"63",51761,1.37776493701606
"64",51762,1.38761836698231
"65",51763,1.28411313772139
"66",51764,1.26086956521739
"67",51765,1.29090909090909
"68",51766,1.23664420778092
"69",51767,1.36046228025741
"70",51768,1.33693999821157
"71",51769,1.39293345145656
"72",51770,1.41348523411304
"73",51771,1.21741245136187
"74",51772,1.30947204968944
"75",51773,1.34139612073436
"76",51774,1.37196577261041
"77",51775,1.40998838559814
"78",51776,1.44871794871795
"79",51777,1.38205869190919
"80",51778,1.26298412698413
"81",51779,1.38634612715989
"82",51780,1.39766081871345
"83",51781,1.29190588765057
"84",51782,1.32940806253934
"85",51783,1.33043830347201
"86",51784,1.35113066862242
"87",51785,1.34827586206897
"88",51786,1.32283666154634
"89",51787,1.2896331738437
"90",51788,1.33078810440374
"91",51789,1.30430847924454
"92",51790,1.32791625936787
"93",51791,1.35895363802341
"94",51792,1.36868490487432
"95",51793,1.33445836308172
"96",51794,1.30661854998371
"97",51795,NA
"98",51796,1.31208269131998
"99",51797,1.36507936507937
"100",51798,1.26709595501542
"101",51799,1.34973798131693
"102",51800,1.36531594472908
"103",51801,1.3399884844618
"104",51802,1.38842497949944
"105",51803,1.30818477297351
"106",51804,1.28050772904361
"107",51805,1.29804727646454
"108",51806,1.34516765285996
