"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"966","35.0386866525314","33.2945284555034","35.2651265292483","31.8888143479215","36.4666628485443","37.6988047725046","34.8978563018484","33.8573462681149","32.5702938830673","34.7574456432763","34.4070434820497","34.187742499105","35.5462122099682","35.7251340686524","33.5333033075639","35.4348960813161","32.5665459553936","34.2438171518075","32.2370520107056","32.0115244149493","34.8418300071781","37.7008225467102","35.8571665041192","26.2722799261354","35.8008746934307","31.4600514346882","36.5732201912589","36.8135328888308","35.7643084388309","34.6619284190915","34.754200186198","35.3712509097761","34.8594630726919","33.2504882401749","34.1578678894711","35.3428816676575","35.2230724801771","35.5453526261332","36.3142743502038","34.121298225559","34.3176368223605","37.92820216959","36.547838002593","34.2535764242616","34.0905967611038","36.6727534891304","35.3687623446282","38.3802973644932","33.8826741921203","35.8585317344286"
"967","34.9852842992001","33.5437723384517","35.3936039412919","31.893082705686","36.555848037775","37.7505147823494","35.0173300313112","34.1113220976705","32.5503444969008","34.7477361530958","34.4316682983746","34.3496124109377","35.5099756996896","35.925084639279","33.7342708935556","35.4694397252521","32.7221874916028","34.2596027189122","32.2506157891837","32.0874307016182","34.8622522513018","37.7119585817798","35.9731972601032","26.3979192429854","35.8631938490986","31.6714711836099","36.6650748860789","36.9202036711094","35.9145404529946","34.6205911824087","34.8246321473639","35.5187475870461","35.1074051801042","33.218145202024","34.2669862404934","35.2954794054098","35.2355529361299","35.6389228266189","36.4538889302327","34.1622678632445","34.471476047279","38.0219267711645","36.5666143360318","34.4189584540453","34.2358508879147","36.8672907627574","35.4165061824903","38.4823745943128","33.9614268710325","35.9258238705616"
"968","35.1899558413609","33.7571289458589","35.5714150993289","32.0422866504512","36.7980242394563","37.8006596506427","34.9607979728468","34.2446994287859","32.7323837678569","34.953093210931","34.3760166030157","34.3017394057785","35.7349187016461","36.0981499385649","33.7739496396924","35.6092732552384","32.7070893275646","34.4147931002827","32.4096850669154","32.1039696645208","34.8267837376798","37.6563723816736","36.153974445603","26.5665589039335","36.0323845607424","31.6802883666029","36.8675781212727","36.8939927594007","36.021631320246","34.7726047317452","34.9013029191985","35.6949960198825","35.1035481068474","33.2647837460063","34.3426586525276","35.2773401201555","35.4032158068846","35.673858495866","36.4982198979964","34.1139651692199","34.5759022520106","38.1953813804686","36.5333021183729","34.5020348592749","34.3521150013734","37.0153162815377","35.470169253148","38.5165013833394","34.0992362628282","35.9267939276657"
"969","35.3397548536893","33.8255700580003","35.5357083076162","32.1878109294839","36.8012553179073","37.9306009077387","35.2285506561961","34.3757085421587","32.920173956305","35.2170060879392","34.4152235319813","34.4492859487799","35.866449380758","36.1005182210906","33.9623508554368","35.7277983600078","32.8163069275237","34.6208784200965","32.6277943152699","32.2660811551801","34.8719077647178","37.8276071810764","36.1733295884737","26.6502527815141","36.1826458278706","31.6990544731905","36.9522811192845","36.9319496930741","35.9802098327578","34.7988677142212","34.9013821466468","35.7216722070225","35.1920355809508","33.3807130889042","34.4999853676709","35.2738172238776","35.4530879659262","35.7098979722517","36.492428100719","34.1821620727877","34.5596913795785","38.3661790927483","36.7141518897595","34.6166206230013","34.4251442335441","37.0457418001266","35.554911173634","38.4978901942193","34.1813752455467","35.9133587856765"
"970","35.2998159582112","33.936000852356","35.6599984924228","32.2965722667755","36.746245129002","37.9532369498335","35.353089229441","34.4256750857986","33.0832134268194","35.3794474838769","34.7161265103491","34.5291459404158","35.9743182271427","36.2564543807403","34.049877881119","35.8641631617352","32.8173878260427","34.8229485298611","32.5962386960283","32.4185634181534","34.9070869528986","37.9513058492583","36.1895230710207","26.622600620309","36.1973590966974","31.6234619837886","37.1465185172001","37.0570988438054","36.1150585024744","34.8498252480561","34.9448778120156","35.923775229042","35.3156533967504","33.6254454323768","34.7032691543198","35.4400995626694","35.6081507746974","35.6693310260105","36.4628896981988","34.3400172936971","34.7716617085095","38.4120655923595","36.8324556124374","34.7570646126042","34.5403013574409","37.1704923470761","35.5802325402003","38.5102008319425","34.4221608844383","36.1090630417959"
"971","35.464027693554","34.0252707197926","35.8371982421459","32.4583287194336","36.7598755940312","38.0030972372874","35.4399568908456","34.5832961675689","33.0921583990267","35.5598819228133","34.8793668590958","34.6085782204015","36.0293204577689","36.2280668632724","33.9998006983603","35.9902623128232","32.941226643463","35.0204489957643","32.6018425147024","32.416329060226","34.8368629912539","38.0726339766018","36.2295807239239","26.8005119792827","36.3549109618366","31.717141705571","37.338571940745","37.1479479394434","36.1194349406509","35.0339320994591","35.0985148321114","36.0436360828014","35.578451176354","33.7959756778171","34.7130851230044","35.4237522063993","35.6677000167173","35.8128142699743","36.4561958921429","34.4949648678199","34.9501698972233","38.3793907887037","37.0075967907354","34.8231018960505","34.7308528246875","37.4241239467095","35.5988467399719","38.5709168632445","34.4847351768773","36.3120475675505"
"972","35.6353006899773","34.1608190973948","35.9540852030831","32.5734416084901","36.7093550800554","38.1149388408282","35.5442271553649","34.7325093432472","33.2634711249639","35.7248939148506","34.9784537777931","34.6528555132084","36.0579624005312","36.3540444296255","33.9367739844982","35.9781139916729","32.9147104229583","35.0053591601884","32.5998804645696","32.4831556141652","34.8572400047649","38.0376918774292","36.3790588768456","26.8752187485979","36.3511787160257","31.8118391308941","37.4848966251694","37.1657049703601","36.3661009730842","35.0743674696947","35.0881341313902","36.1979840532854","35.5881662130117","33.9491363924814","34.9417591256826","35.5628529673585","35.697759715461","35.7795902396463","36.4314386736301","34.6287990309773","34.8991709538609","38.5368900508696","37.1914197343516","34.9738063071217","34.721618743068","37.3409477890648","35.8107334147601","38.7702401369875","34.6348185970697","36.4242124175548"
"973","35.5781842344034","34.4216111894807","36.1212900149953","32.6430062985654","36.6381386844103","38.0599831984191","35.5366456869661","34.8730005266867","33.4305094674574","35.7218013390841","35.1945850028298","34.739272246108","36.0652665991426","36.5548113278077","33.9715034262256","36.1229440008127","32.9048272003484","35.1313636271205","32.5724984479835","32.716293087409","34.9460031858389","37.942430410144","36.4605056910951","26.8553051955288","36.5258660917483","31.9273740608389","37.6162588896169","37.3957233003307","36.4826726050868","35.312250640637","35.2030315272711","36.3533603384019","35.7198676716891","34.1608148732566","34.936958384379","35.6173814026743","35.8146886368696","35.7272716726447","36.4879639751333","34.6357549640732","34.9796979719512","38.6565091895486","37.199952228684","35.0029088321887","34.8775998976192","37.6771663804927","35.9031032600154","38.9674589571548","34.7972897896227","36.5051993471149"
"974","35.5892148153333","34.5602941902934","36.2657251759418","32.7194945678852","36.6514540636929","38.04951327125","35.7096408584628","35.023140156565","33.5110559264551","35.8945628127359","35.4101061336328","34.9309512540458","36.1010491371635","36.6689634449691","33.9767336607428","36.3312166190327","32.9532731616713","35.0543947921254","32.7607752936922","32.9195711290779","35.1243462448802","37.9082985605277","36.4717935856139","26.9490167388231","36.5446668849027","31.9427725854725","37.8950485007253","37.365803947286","36.6058558035256","35.2464534757172","35.3945317731653","36.3292351430415","35.8572432225632","34.3209331783952","35.0811868768351","35.6122836050497","35.7474779899615","35.878721661453","36.6795272736598","34.6545954726093","35.1041859843011","38.7140746670472","37.2174546254223","34.9999346141639","34.9888947875821","37.7738842178675","36.0910616256638","39.0428645293493","34.9847795508843","36.5048784543103"
"975","35.5923533509124","34.724716223879","36.4165297213822","32.8639173546514","36.8140142312845","38.3735647607258","35.7892800304147","35.1850456081998","33.5251468688796","35.8870711995825","35.4338093887147","34.968470173666","36.0776968830547","36.7727788875374","34.0076536532242","36.559316969305","33.0638899774205","35.2461362707034","32.9608900539698","33.119101289635","35.1313573584684","38.0266898057873","36.4656276390751","27.0036404111885","36.6642425327104","32.0544989402219","37.8882029724063","37.503741126517","36.6096343780669","35.3205034633955","35.4919587834217","36.3026047489425","35.8885410231277","34.4439425476818","35.2147199971635","35.8238128904705","35.961558338845","35.9096232856563","36.7855743338439","34.8021747275079","35.2893724556544","38.852078286149","37.3956817734351","34.9820078524582","35.1550899818646","37.7452664185908","36.0599608604653","39.1780889354229","35.1309727300673","36.5233761187526"
